번호,개방자치단체코드,관리번호,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,업태구분명,좌표정보(x),좌표정보(y),위생업태명
1,3120000,3120000-201-1997-00022,120833,서울특별시 서대문구 창천동 20-37,서울특별시 서대문구 연세로2길 50 (창천동),3780,A+호텔,여관업,194597.9426,450471.8966,여관업
2,3010000,3010000-201-2003-00050,100830,서울특별시 중구 신당동 366-101번지,서울특별시 중구 다산로 66 (신당동),4597,세화장여관,여관업,200624.7099,449784.7596,여관업
3,3230000,3230000-201-1988-00038,138827,서울특별시 송파구 방이동 41-5번지,서울특별시 송파구 올림픽로34길 5 (방이동),5544,IMT 모텔,여관업,209723.6845,445996.9346,여관업
4,3180000,3180000-201-2003-00007,150033,서울특별시 영등포구 영등포동3가 24번지,서울특별시 영등포구 영등포로46길 7-6 (영등포동3가),7304,프로방스 HoTel,여관업,191808.0254,446252.5863,여관업
5,3010000,3010000-201-1968-00106,100873,서울특별시 중구 회현동1가 127-2번지,서울특별시 중구 퇴계로12길 45-1 (회현동1가),4633,동원여관,여관업,198314.2907,450598.2972,여관업
6,3020000,3020000-201-1981-00191,140857,서울특별시 용산구 이태원동 211-30번지,서울특별시 용산구 회나무로 45-1 (이태원동),4344,성지모텔,여관업,199194.4603,448636.9877,여관업
7,3020000,3020000-201-1968-00212,140887,서울특별시 용산구 한남동 642-20번지,서울특별시 용산구 대사관로30가길 6 (한남동),4402,화신,여관업,200391.1322,447779.9883,여관업
8,3180000,3180000-201-2003-00038,150867,서울특별시 영등포구 양평동4가 161-2번지,서울특별시 영등포구 선유로53길 5 (양평동4가),7206,스타장,여인숙업,190885.3964,448306.4961,여인숙업
9,3180000,3180000-201-2003-00251,150862,서울특별시 영등포구 양평동1가 9-31번지,서울특별시 영등포구 선유로 88-2 (양평동1가),7291,팔레스,여관업,190241.7841,446614.4962,여관업
10,3120000,3120000-201-1987-01138,120845,서울특별시 서대문구 홍은동 201-1번지,서울특별시 서대문구 연희로 353 (홍은동),3650,스위스그랜드호텔,관광호텔,194211.9972,454098.9703,관광호텔
11,3180000,3180000-201-2014-00005,150102,서울특별시 영등포구 양평동2가 40-5,서울특별시 영등포구 영등포로 9 (양평동2가),7276,이후 브릿지 호텔,관광호텔,189552.0218,446847.7044,관광호텔
12,3110000,3110000-201-1998-00002,122924,서울특별시 은평구 응암동 590-24번지 지~5층,"서울특별시 은평구 가좌로9길 13-5 (응암동,지~5층)",3484,래플즈,여관업,192471.7414,454142.8416,여관업
13,3010000,3010000-201-2000-00244,100855,서울특별시 중구 장충동2가 38-1번지,서울특별시 중구 동호로30길 33 (장충동2가),4616,웰빙텔,여관업,200360.9717,450990.2077,여관업
14,3110000,3110000-201-1967-00084,122837,서울특별시 은평구 대조동 15-90번지,서울특별시 은평구 통일로65길 9 (대조동),3397,금강장,여관업,193743.42,456290.6079,여관업
15,3020000,3020000-201-1965-00219,140864,서울특별시 용산구 이태원동 166-33,서울특별시 용산구 이태원로17길 10-4 (이태원동),4351,동인,여관업,199176.4124,448056.7402,여관업
16,3020000,3020000-201-1969-00227,140842,서울특별시 용산구 용산동2가 38-11번지,서울특별시 용산구 신흥로 41-1 (용산동2가),4338,덕성장,여관업,198807.7568,448896.7716,여관업
17,3110000,3110000-201-1987-00034,122808,서울특별시 은평구 갈현동 395-14,서울특별시 은평구 통일로 863-22 (갈현동),3330,레스트(Rest),여관업,192832.7212,457562.3269,여관업
18,3010000,3010000-201-2010-00003,100195,"서울특별시 중구 을지로5가 77-2번지 3,5,6,9,10,11,13,14층","서울특별시 중구 을지로 228 (을지로5가, 3,5,6,9,10,11,13,14층)",4561,(주)동대문레지던스 웨스턴코업,일반호텔,200224.8152,451582.6271,일반호텔
19,3180000,3180000-201-2003-00183,150036,서울특별시 영등포구 영등포동6가 49-2번지,서울특별시 영등포구 영등포로35길 17-4 (영등포동6가),7251,모텔 욜로(YOLO),여관업,191458.0081,446620.5925,여관업
20,3180000,3180000-201-2003-00021,150839,서울특별시 영등포구 신길동 97-32번지,서울특별시 영등포구 영등포로 373-14 (신길동),7318,은하수여관,여인숙업,192884.6803,445783.476,여인숙업
21,3180000,3180000-201-2003-00261,150867,서울특별시 영등포구 양평동4가 280-2,서울특별시 영등포구 선유로54길 1 (양평동4가),7222,호텔 리버트리,여관업,191000.3678,448258.2935,여관업
22,3020000,3020000-201-1971-00163,140829,서울특별시 용산구 서계동 229-3번지,서울특별시 용산구 만리재로36길 16-1 (서계동),4300,금강,여관업,197013.5184,450148.8662,여관업
23,3180000,3180000-201-2003-00101,150898,서울특별시 영등포구 영등포동 580-97번지,서울특별시 영등포구 신길로 250-1 (영등포동),7312,삼호여관,여관업,192114.741,445758.5339,여관업
24,3010000,3010000-201-2002-00019,100823,서울특별시 중구 신당동 241-102번지,서울특별시 중구 다산로35길 21 (신당동),4611,8모텔,여관업,201203.715,451284.6772,여관업
25,3120000,3120000-201-1981-00043,120814,서울특별시 서대문구 북가좌동 309-12,서울특별시 서대문구 응암로1길 3 (북가좌동),3679,제이모텔,여관업,192112.2871,453184.6288,여관업
26,3120000,3120000-201-1996-00015,120833,서울특별시 서대문구 창천동 13-68,서울특별시 서대문구 연세로2나길 20 (창천동),3778,모네,여관업,194486.8744,450524.4386,여관업
27,3180000,3180000-201-2003-00242,150809,서울특별시 영등포구 당산동6가 237-60번지,서울특별시 영등포구 당산로46길 5-1 (당산동6가),7223,강남모텔,여관업,191361.0671,447958.5146,여관업
28,3010000,3010000-201-2000-00231,100869,서울특별시 중구 황학동 375-0번지,서울특별시 중구 퇴계로83길 22-16 (황학동),4576,은성장여관,여관업,201640.033,451578.0159,여관업
29,3180000,3180000-201-2008-00001,150033,서울특별시 영등포구 영등포동3가 7-26번지 외 3필지,"서울특별시 영등포구 영중로10길 10 (영등포동3가,외 3필지)",7302,뉴신라호텔,여관업,191654.42,446315.0956,여관업
30,3110000,3110000-201-1982-00024,122807,서울특별시 은평구 구산동 339-5번지,서울특별시 은평구 서오릉로 219 (구산동),3425,샹브르여관,여관업,191922.1548,456920.921,여관업
31,3010000,3010000-201-2003-00002,100856,서울특별시 중구 장충동2가 202번지,서울특별시 중구 동호로 249 (장충동2가),4605,호텔신라,관광호텔,200463.6253,450497.4609,관광호텔
32,3020000,3020000-201-1965-00157,140133,서울특별시 용산구 청파동3가 24-10번지,서울특별시 용산구 청파로45길 2-5 (청파동3가),4313,한글게스트하우스,여관업,197299.2116,449129.4046,여관업
33,3020000,3020000-201-1968-00159,140829,서울특별시 용산구 서계동 228-6번지,서울특별시 용산구 만리재로36길 5 (서계동),4300,계림모텔,여관업,197007.2138,450212.9199,여관업
34,3120000,3120000-201-1999-01028,120180,"서울특별시 서대문구 창천동 29-24 , 118","서울특별시 서대문구 연세로2나길 6 (창천동,, 118)",3779,루이,일반호텔,194472.635,450455.6348,일반호텔
35,3010000,3010000-201-2003-00054,100870,서울특별시 중구 황학동 1014번지 9/5,"서울특별시 중구 퇴계로87길 42 (황학동,9/5)",4575,우림여인숙,여인숙업,201793.6605,451691.3226,여인숙업
36,3110000,3110000-201-1969-00088,122808,서울특별시 은평구 갈현동 390-5번지,서울특별시 은평구 갈현로 340-7 (갈현동),3328,올래,여관업,192819.8815,458199.9009,여관업
37,3010000,3010000-201-2013-00015,100391,서울특별시 중구 장충동1가 31-7번지 지하2층~지상9층,"서울특별시 중구 장충단로 198 (장충동1가, 지하2층~지상9층)",4614,봉우물산(주)써미트호텔,관광호텔,200538.8501,451107.6143,관광호텔
38,3010000,3010000-201-2011-00003,100330,서울특별시 중구 주교동 136-5 2~4층,"서울특별시 중구 창경궁로 67-6 (주교동,2~4층)",4545,힙지 게스트하우스,여관업,199715.4286,451800.1655,여관업
39,3180000,3180000-201-2003-00120,150823,서울특별시 영등포구 대림동 990-17번지,서울특별시 영등포구 대림로 77 (대림동),7444,티파니 모텔,여관업,191562.2244,443007.1678,여관업
40,3010000,3010000-201-1976-00196,100440,서울특별시 중구 황학동 2504-0,서울특별시 중구 난계로11길 13 (황학동),4575,크리스티,여관업,201933.9887,451520.3697,여관업
41,3110000,3110000-201-1978-00050,122923,서울특별시 은평구 응암동 124-46,서울특별시 은평구 응암로21길 4-1 (응암동),3456,수모텔,여관업,192647.4735,454645.5971,여관업
42,3010000,3010000-201-2010-00004,100011,"서울특별시 중구 충무로1가 24-23 명동하늘빌딩 6,7,8,9,10층","서울특별시 중구 명동8나길 15 (충무로1가, 명동하늘빌딩 6,7,8,9,10층)",4536,호텔스카이파크 명동1호점,일반호텔,198527.0993,450998.0734,일반호텔
43,3110000,3110000-201-1978-00011,122030,"서울특별시 은평구 대조동 198-7번지 ,198-16",서울특별시 은평구 연서로 220-2 (대조동),3385,레드모텔,여인숙업,192902.3401,457295.2843,여인숙업
44,3110000,3110000-201-2003-00001,122837,서울특별시 은평구 대조동 15-52,서울특별시 은평구 통일로65길 6 (대조동),3397,노블레스 모텔,여관업,193767.0851,456318.3161,여관업
45,3180000,3180000-201-2003-00210,150033,서울특별시 영등포구 영등포동3가 2-15,서울특별시 영등포구 영중로10길 41 (영등포동3가),7303,씨에프모텔,여관업,191965.705,446258.8093,여관업
46,3180000,3180000-201-2003-00234,150800,서울특별시 영등포구 당산동1가 85번지,,,백운장여관,여관업,191141.654,446522.0911,여관업
47,3010000,3010000-201-1982-00201,100871,서울특별시 중구 황학동 2513,서울특별시 중구 퇴계로 449-17 (황학동),4575,크리스티2,여관업,201914.0679,451528.8264,여관업
48,3120000,3120000-201-1971-01170,120020,서울특별시 서대문구 미근동 81-0,서울특별시 서대문구 충정로6길 49-4 (미근동),3740,영빈여관,여인숙업,197047.2702,451145.7024,여인숙업
49,3020000,3020000-201-2002-00004,140880,서울특별시 용산구 한강로3가 40-327,서울특별시 용산구 한강대로7길 9-5 (한강로3가),4380,스카이호텔,여관업,196587.641,446866.8013,여관업
50,3020000,3020000-201-2015-00001,140170,서울특별시 용산구 동자동 56 지상19~30층,"서울특별시 용산구 한강대로 366, 지상19층~30층 (동자동)",4323,(주)조선호텔앤리조트포포인츠조선서울역,관광호텔,197525.4073,449844.3198,관광호텔
51,3120000,3120000-201-1969-01186,120050,서울특별시 서대문구 냉천동 15,서울특별시 서대문구 통일로9길 6-8 (냉천동),3735,그린파크,여인숙업,196792.5407,451682.3333,여인숙업
52,3020000,3020000-201-1982-00238,140871,서울특별시 용산구 한강로2가 2-194번지,서울특별시 용산구 새창로 209 (한강로2가),4376,노블호텔,여관업,197052.8637,447617.104,여관업
53,3020000,3020000-201-1970-00168,140847,서울특별시 용산구 원효로2가 81-2,서울특별시 용산구 원효로53길 13 (원효로2가),4364,원효,여관업,196564.6264,448215.2662,여관업
54,3120000,3120000-201-2002-00005,120833,서울특별시 서대문구 창천동 29-70,서울특별시 서대문구 연세로2가길 6 (창천동),3779,쟈스민,여관업,194417.4694,450445.4148,여관업
55,3120000,3120000-201-1990-00033,120833,서울특별시 서대문구 창천동 29-52번지,서울특별시 서대문구 연세로2나길 7 (창천동),3779,나인스타2,여관업,194457.9328,450469.6271,여관업
56,3180000,3180000-201-2003-00154,150033,서울특별시 영등포구 영등포동3가 21-13번지,서울특별시 영등포구 영중로4길 15-5 (영등포동3가),7304,그곳에 호텔,여관업,191789.1311,446166.2157,여관업
57,3010000,3010000-201-2000-00237,100819,서울특별시 중구 신당동 101-3번지,서울특별시 중구 퇴계로78길 16 (신당동),4585,영빈장여관,여관업,201402.719,451371.9259,여관업
58,3120000,3120000-201-2007-00001,120833,서울특별시 서대문구 창천동 29-64,서울특별시 서대문구 연세로2길 13 (창천동),3779,디,여관업,194428.3595,450423.9373,여관업
59,3120000,3120000-201-1993-01159,120833,서울특별시 서대문구 창천동 13-66,서울특별시 서대문구 연세로2나길 18-5 (창천동),3778,놀모텔,여관업,194504.2685,450513.4029,여관업
60,3010000,3010000-201-2002-00015,100272,서울특별시 중구 필동2가 18-14번지,서울특별시 중구 퇴계로 210-47 (필동2가),4625,한일장모텔,여관업,199494.0926,450932.4931,여관업
61,3230000,3230000-201-2003-00003,138844,서울특별시 송파구 석촌동 158번지,서울특별시 송파구 석촌호수로 216 (석촌동),5610,레이크인,관광호텔,208851.6399,444965.4233,관광호텔
62,3230000,3230000-201-2004-00005,138827,서울특별시 송파구 방이동 42-6번지,서울특별시 송파구 올림픽로34길 7 (방이동),5544,HOTEL CASA,여관업,209735.6028,445979.0938,여관업
63,3230000,3230000-201-2003-00037,138827,서울특별시 송파구 방이동 37-3번지 외 1필지,"서울특별시 송파구 오금로11길 23-19 (방이동,외 1필지)",5543,첼로모텔,여관업,209621.6417,445963.3262,여관업
64,3230000,3230000-201-2003-00025,138827,서울특별시 송파구 방이동 42-8번지,서울특별시 송파구 올림픽로34길 9 (방이동),5544,호텔머니,여관업,209740.9178,445965.3552,여관업
65,3020000,3020000-201-1968-00180,140869,서울특별시 용산구 청파동1가 154-8번지,서울특별시 용산구 청파로 330-18 (청파동1가),4301,신진장,여관업,197317.4664,449638.8757,여관업
66,3180000,3180000-201-2003-00069,150822,서울특별시 영등포구 대림동 977-5번지,서울특별시 영등포구 시흥대로181길 8 (대림동),7442,충남여인숙,여인숙업,191657.81,443104.2152,여인숙업
67,3010000,3010000-201-2002-00016,100411,서울특별시 중구 광희동1가 138-1,서울특별시 중구 을지로44길 6-7 (광희동1가),4561,탑모텔,여관업,200476.8054,451495.1403,여관업
68,3180000,3180000-201-2003-00071,150824,서울특별시 영등포구 대림동 1015-25,서울특별시 영등포구 대림로 93-1 (대림동),7443,파나마모텔,여관업,191416.779,443110.9087,여관업
69,3120000,3120000-201-1974-01211,120805,서울특별시 서대문구 남가좌동 290-141,서울특별시 서대문구 수색로 32-11 (남가좌동),3712,회림장,여인숙업,192466.3782,451942.2215,여인숙업
70,3010000,3010000-201-2003-00034,100340,서울특별시 중구 산림동 4번지,서울특별시 중구 창경궁로5가길 19 (산림동),4545,광신장여관,여관업,199706.0013,451734.4737,여관업
71,3230000,3230000-201-2004-00001,138805,서울특별시 송파구 가락동 98-6번지,서울특별시 송파구 송파대로28길 11 (가락동),5719,캘리포니아관광호텔,관광호텔,210463.2825,443549.8935,관광호텔
72,3230000,3230000-201-1996-00031,138827,서울특별시 송파구 방이동 24-12번지,서울특별시 송파구 올림픽로30길 8 (방이동),5542,호텔짬,여관업,209458.7425,445868.8167,여관업
73,3010000,3010000-201-1970-00169,100869,서울특별시 중구 황학동 714번지,서울특별시 중구 퇴계로 439-4 (황학동),4576,마이더스여관,여관업,201766.3545,451514.1944,여관업
74,3180000,3180000-201-2003-00185,150035,서울특별시 영등포구 영등포동5가 33-65,서울특별시 영등포구 영중로18길 22-1 (영등포동5가),7250,인천여인숙,여관업,191749.7965,446526.9278,여관업
